지역,소재지,시설명,주소,연락처
경기도,화성시,(재)효원가족공원 자연장지,경기도 화성시 향남읍 서봉로755번길 17-15 (동오리),031-354-2325
전라남도,함평군,실상산문종실상선원자연장,전라남도 함평군 대동면 운교리 산 79-10,02-222-5555
충청북도,음성군,수원제일교회 자연장지,충청북도 음성군 음성읍 초천리 산129-1,031-244-1004
경상북도,안동시,대한불교조계종 세심사 수목장림,경상북도 안동시 와룡면 선돌길 112-55 (가구리),054-856-6388
전라남도,완도군,완도안디옥교회 자연장지,전라남도 완도군 군외면 당인리 429-1,061-554-1004
경기도,용인시,동화추모공원,경기도 용인시 처인구 백암면 한택로71번길 19 (옥산리),031-337-3324
경상남도,양산시,신불산추모공원 수목장지,"경상남도 양산시 어실로 602-1 (어곡동, 신불정사)",055-363-4666
충청북도,청주시,정음사원추모관,충청북도 청주시 서원구 3순환로644번길 33 (죽림동),043-233-0924
경기도,양주시,경신하늘뜰공원 자연장지,"경기도 양주시 남면 화합로430번길 98 (경신리, 경신하늘뜰공원)",031-861-5716
충청북도,충주시,동서울교회 자연장지,충청북도 충주시 소태면 구룡고개길 152 (주치리),
경기도,포천시,광릉추모공원(자연장지),경기도 포천시 내촌면 부마로 341 (마명리),031-532-2520
경기도,용인시,샘물호스피스 자연장지,경기도 용인시 처인구 백암면 고안로51번길 112-25 (고안리),031-329-2993
강원특별자치도,춘천시,동산공원묘원 자연장지,"강원특별자치도 춘천시 동산면 종자리로 331-50 (군자리, 춘천시공설묘원)",033-263-9446
강원특별자치도,홍천군,천봉사 자연장지,강원특별자치도 홍천군 서면 팔봉산로 118 (대곡리),033-435-8941
전북특별자치도,전주시완산구,에덴의정원 수목장,전라북도 전주시 완산구 콩쥐팥쥐로 1705-62 (효자동3가),063-226-0107
경상남도,거제시,신광사 수목장,"경상남도 거제시 사등면 오량2길 108 (오량리, 신광사)",055-1855-0494
전북특별자치도,정읍시,서남권추모공원 자연장지,전라북도 정읍시 감곡면 정읍북로 1850 (통석리),063-539-6725
경기도,안성시,우성공원묘원(자연장지),"경기도 안성시 일죽면 화곡길 158 (화곡리, 우성공원묘원)",031-672-5008
경기도,용인시,약천사,"경기도 용인시 처인구 양지면 양지로63번길 9-18 (양지리, 약천사)",031-338-3362
강원특별자치도,횡성군,원주중부교회자연장지,"강원특별자치도 원주시 북원로 2115 (무실동, 원주중부교회)",033-744-2760
경기도,수원시영통구,수원시연화장 자연장지,"경기도 수원시 영통구 광교호수로 278 (하동, 수원시연화장)",031-218-6500
경상남도,김해시,휴안추모공원,"경상남도 김해시 상동면 상동로 178-54 (우계리, 불조사)",055-724-4755
경기도,여주시,남한강공원묘원(자연장),경기도 여주시 가남읍 송삼로 459-35 (금곡리),031-882-6689
광주광역시,광산구,사랑의빛교회 천제모동산,광주광역시 광산구 도천남길 124-18 (도천동),062-371-9206
경상남도,밀양시,천탑사 수목장(그린피아),경상남도 밀양시 삼랑진읍 화성길 13-47 (미전리),055-351-4440
경기도,안성시,에버그린수목장,경기도 안성시 양성면 남북대로 1698 (동항리),031-673-4785
경상북도,영천시,개원추모공원 수목장림,경상북도 영천시 신녕면 장수로 2238-28 (화남리),054-336-0992
충청북도,영동군,선불교자연장지,충청북도 영동군 심천면 마곡리 산15-1,043-745-7820
경기도,안성시,명성교회 수목장,경기도 안성시 삼죽면 마전리 132-4,02-486-1004
강원특별자치도,양양군,자연으로추모정원,강원특별자치도 양양군 현남면 매호길 273 (후포매리),033-671-6279
경상북도,성주군,(재)남양공원묘원 자연장지,경상북도 성주군 선남면 관용로 401-41 (오도리),054-932-4444
경기도,의왕시,의왕하늘쉼터(자연장),경기도 의왕시 오매기백운산길 41-57 (오전동),031-345-2831
강원특별자치도,삼척시,삼척시추모공원 자연장,강원특별자치도 삼척시 강원남부로 4540 (등봉동),033-574-7912
경기도,안산시단원구,쌍계사,"경기도 안산시 단원구 대부황금로 1171 (대부북동, 쌍계사)",032-880-1727
강원특별자치도,홍천군,도심리교회 하늘로공원,강원특별자치도 홍천군 화촌면 도심리길 196 (구성포리),033-433-3321
세종특별자치시,세종특별자치시,은하수공원 자연장지,"세종특별자치시 정안세종로 1527 (산울동, 은하수공원)",044-850-1340
전라남도,구례군,구례군 공설자연장지,"전라남도 구례군 마산면 당몰샘로 129-49 (사도리, 구례군자연장지관리사무소)",061-782-7712
인천광역시,강화군,월곳리 공설자연장지,인천광역시 강화군 강화읍 월곳리 산8,032-934-0003
전라남도,무안군,목포중앙교회 자연장지,전라남도 무안군 청계면 남성리 90,
경기도,양평군,시냇가푸른나무교회수목장림,"경기도 양평군 단월면 석산로 513-56(향소리, 숲속작은나라)",02-877-0051
경상북도,경주시,경주하늘수목장림,경상북도 경주시 건천읍 하늘마루길 274 (용명리),054-753-3535
경기도,연천군,중앙추모공원,경기도 연천군 미산면 마유로 58-38 (백석리),031-833-7737
경기도,고양시일산동구,일산공감수목장(봉화사),경기도 고양시 일산동구 지영로194번길 132 (지영동),031-975-4587
경상남도,밀양시,여여정사 수목장,경상남도 밀양시 삼랑진읍 행곡1길 180-158 (행곡리),055-355-9247
경기도,용인시,(재)용인추모원 자연장지,"경기도 용인시 기흥구 중부대로 972 (상하동, 재단법인용인추모원)",031-283-1601
경기도,남양주시,(재)영락교회공원묘원 자연장지,경기도 남양주시 진건읍 사릉로264번길 140-16 (사능리),031-573-8123
충청북도,청주시,청주시목련공원 자연장,충청북도 청주시 상당구 목련로 731 (목련공원),043-270-8578
경상남도,고성군,대한불교조계종 계승사 극락원,경상남도 고성군 영현면 대법3길 236 (대법리),055-673-0281
전라남도,담양군,오룡군립묘원 자연장지,전라남도 담양군 무정면 오룡리 산29,061-380-3384
강원특별자치도,춘천시,일월사추모공원(자연장지),강원특별자치도 춘천시 남산면 봉의텃골길 149-10 (행촌리),033-243-3654
경기도,안성시,안성시추모공원(자연장지),경기도 안성시 미양면 보촌4길 70 (고지리),031-677-9944
경기도,양평군,(사)씨앤에이미션 자연장지,경기도 양평군 양동면 다락근이길 57-18 (단석리),031-775-6945
전북특별자치도,전주시완산구,대한예수교장로회 효자수목원,"전라북도 전주시 완산구 콩쥐팥쥐로 1705-31 (효자동3가, 효자추모관)",063-228-6811
경기도,남양주시,무량수목장,"경기도 남양주시 수동면 비룡로850번길 33 (입석리, 대한불교조계종무량사)",031-594-7970
경상남도,진주시,진주제일교회 수목장,경상남도 진주시 일반성면 운천리 산96,055-757-3535
전북특별자치도,무주군,무주추모의집(자연장),전라북도 무주군 무주읍 괴목로 1359-72 (당산리),063-322-2302
충청남도,공주시,공주나래원 자연장지,"충청남도 공주시 이인면 삼배실길 70 (운암리, 나래원)",041-840-8980
경기도,양주시,서울신흥교회 하늘계단수목장,경기도 양주시 평화로1261번길 372-146 (산북동),031-821-4242
전라남도,순천시,순천시립자연장지,전라남도 순천시 용수동길 920 (삼거동),061-749-4520
충청북도,청주시상당구,성요셉공원묘지,"충청북도 청주시 상당구 가덕면 병암길 35-52 (시동리, 성당)",043-298-5880
경기도,양평군,선연사 자연장지,"경기도 양평군 양평읍 농업기술센터길 19-18 (공흥리, 선연사)",031-774-6656
전라남도,진도군,보배숲추모공원,"전라남도 진도군 진도읍 진도대로 7363-110 (동외리, 관리사무소)",061-544-6101
경기도,안성시,기독교대한성결교회 안성교회 자연장지,경기도 안성시 금광면 조령길 73-117 (삼흥리),031-674-2347
경상남도,사천시,사천시누리원(자연장지),"경상남도 사천시 해안관광로 208-66 (송포동, 사천공설화장장)",055-831-4590
경상남도,창원시마산합포구,장수암 자연장지,"경상남도 창원시 마산합포구 구산면 원전1길 141 (심리, 장수암)",055-221-1510
경기도,용인시,천주교인보성체수도회,"경기도 용인시 처인구 포곡읍 백옥대로1832번길 68 (삼계리, 수녀원)",031-339-9025
충청북도,옥천군,옥천군공설자연장지,충청북도 옥천군 군서면 월전리 산19-1,043-730-3323
경기도,시흥시,정왕공설자연장지,경기도 시흥시 정왕동 산2-1,031-310-2264
경기도,동두천시,예래원(자연장지),경기도 동두천시 탑신로 668 (탑동동),031-867-8707
울산광역시,울산광역시,울산하늘공원 자연장지,울산광역시 울주군 삼동면 보삼길 550 (조일리),052-255-3800
강원특별자치도,화천군,화천공원묘원 자연장지,"강원특별자치도 화천군 하남면 영서로 5697-66 (원천리, 화천장례식장)",033-440-2316
인천광역시,옹진군,이작리공설묘지 자연장지,인천광역시 옹진군 자월면 이작리 산289,032-899-2333
경기도,안성시,안성제일교회 수목장,경기도 안성시 삼죽면 율곡리 산108-12,031-672-2607
전북특별자치도,전주시완산구,전주효자자연장,"전라북도 전주시 완산구 콩쥐팥쥐로 1705-138(효자동3가, 전주승화원)",063-239-2690
강원특별자치도,횡성군,반포교회 수목장림,"서울특별시 서초구 방배로45길 16 (방배동, 반포교회)",02-599-1449
충청남도,당진시,남부권공설묘지자연장지,충청남도 당진시 신평면 상오로 31 (상오리),041-350-3736
전북특별자치도,고창군,대한불교조계종 홍련암 자연장지,전라북도 고창군 고수면 신기길 34 (은사리),
경상남도,거창군,웅양공설공원묘지,경상남도 거창군 웅양면 죽림리 산108,055-940-3892
전라남도,함평군,대한예수장로회 아름기도회 자연장지,"전라남도 함평군 대동면 고막천로 1137 (금곡리, 아름기도회묘지관련시설)",062-433-9191
경상북도,김천시,기쁜소식한밭교회 자연장지,경상북도 김천시 대덕면 관기리 산62-4,
전라남도,보성군,늘푸른수목장,전라남도 보성군 노동면 평동로 877-14 (옥마리),061-852-7879
전북특별자치도,익산시,익산하늘공원자연장지,전라북도 익산시 무왕로 1471-63 (석왕동),063-859-3840
충청북도,진천군,진천군 자연장지,충청북도 진천군 진천읍 장관리 758-3번지 일원,043-539-3396
경상북도,경주시,대원사추모공원 자연장지,"경상북도 경주시 양남면 명주길 864-5 (효동리, 대원사)",054-743-1945
경기도,김포시,김포문수산수목장,경기도 김포시 월곶면 문수산로 8 (포내리),031-985-5155
경기도,김포시,살렘전원그리스도의교회자연장지,경기도 김포시 월곶면 김포대학로 130 (포내리),031-982-6953
경기도,광주시,대호지공설묘지자연장지,"충청남도 당진시 대호지면 봉선길 123 (장정리, 어성정공동묘지)",041-350-3044
광주광역시,광산구,목자은혜교회,광주광역시 광산구 송학동 424-1,062-447-9091
경상북도,경주시,무일선원 수목장림,"경상북도 경주시 감포읍 회곡길 127 (대본리, 관음사)",054-753-8228
전라남도,광양시,광양시립영세공원 자연장지,전라남도 광양시 광양읍 직동1길 300 (죽림리),061-762-4449
제주특별자치도,서귀포시,성산읍공설자연장지,제주특별자치도 서귀포시 성산읍 수산리 4711,064-760-4234
대구광역시,달성군,대한불교조계종 남지장사,"대구광역시 달성군 가창면 남지장사길 95 (우록리, 남지장사)",053-768-9920
강원특별자치도,양구군,공설자연장지,강원 양구군 양구읍 하리 352,033-480-2576
강원특별자치도,동해시,동해시하늘정원자연장지,강원도 동해시 강원남부로 4589 (단봉동),033-530-2796
경기도,양평군,하이패밀리 자연장지,경기도 양평군 서종면 도장리 산32,031-772-3223
경기도,안성시,유토피아추모공원(자연장지),경기도 안성시 일죽면 화곡길 93 (화곡리),031-673-7904
경기도,용인시처인구,대한불교금오종,경기도 용인시 처인구 원삼면 이원로913번길 67-27 (문촌리),031-323-6813
경상남도,함안군,함안하늘공원(자연장지),"경상남도 함안군 가야읍 함마대로 1145 (사내리, 함안하늘공원)",055-585-7182
경상남도,하동군,하늘동산수목장,경상남도 하동군 북천면 경서대로 1818 (방화리),055-882-9190
충청북도,보은군,결초보은 추모공원(자연장지),충청북도 보은군 보은읍 속리산로 37 (누청리),043-542-1232
전라남도,여수시,여수시영락공원 자연장지(잔디형),"전라남도 여수시 소라면 의곡길 494 (봉두리, 영락공원)",061-659-1795
충청북도,음성군,다래원자연장지,충청북도 음성군 생극면 오신로445번길 77 (신양리),043-883-4449
경기도,용인시,용인로뎀파크,"경기도 용인시 처인구 양지면 한터로 432-16 (대대리, 용인로뎀파크교회)",031-321-4477
경기도,연천군,성아우구스띠노수도회 자연장지,경기도 연천군 왕징면 왕산로 722 (동중리),031-834-1262
충청남도,아산시,아산시공설자연장지,충청남도 아산시 송악면 외암로 30-30 (거산리),041-538-1940
경기도,양주시,신세계공원(자연장),경기도 양주시 장흥면 권율로29번길 170 (일영리),031-855-1241
경기도,용인시,샘물호스피스 자연장지,경기도 용인시 처인구 백암면 고안로51번길 112-25 (고안리),031-329-2993
충청남도,보령시,국립기억의숲,충청남도 보령시 성주면 개화리 산41,041-402-7100
경기도,고양시,자연애숲(다니엘교회),경기도 고양시 일산동구 지영로194번길 135 (지영동),031-977-9915
충청북도,옥천군,옥천성당요셉공원,충청북도 옥천군 옥천읍 중앙로 91 (삼양리),043-731-9981
경상북도,안동시,대한불교조계종세심사 상락향수목장림,경상북도 안동시 와룡면 선돌길 112-55 (가구리),054-857-1900
전라남도,해남군,남도광역추모공원(자연장),전라남도 해남군 황산면 호교길 241-250 (일신리),061-530-5141
경기도,화성시,화성함백산추모공원(바람마루),경기도 화성시 매송면 서해로 2448-32 (숙곡리),031-240-9200
경상남도,통영시,새소명교회동산,경상남도 통영시 도산면 도선리 산301-1,055-241-0278
전라남도,곡성군,(재)아름다운 청계공원,전라남도 곡성군 곡성읍 청계동로 457 (신기리),061-362-1199
경기도,양주시,하늘소풍수목장(호산나교회),경기도 양주시 평화로1261번길 372-74 (산북동),031-1577-8195
경기도,평택시,(재)서호추모공원 자연장지,경기도 평택시 청북읍 고렴길 161-12 (고렴리),031-683-4505
경기도,가평군,영은교회 자연장지(수목장림),경기도 가평군 설악면 설곡리 산 224-8,02-2676-7171
광주광역시,북구,망월묘지공원(자연장),"광주광역시 북구 민주로 285 (운정동, 망월동묘지공원관리사무소)",062-572-1701
대구광역시,대구광역시,대구시립공원묘지(자연장),경상북도 칠곡군 지천면 낙산로 87 (낙산리),053-803-6262
강원특별자치도,강릉시,청솔공원 자연장지,강원특별자치도 강릉시 사천면 석교리 산162,033-660-3857
충청남도,보령시,보령시모란공원 자연장,"충청남도 보령시 성주면 만수로 695-14 (개화리, 모란공원사무실)",041-933-5671
충청남도,계룡시,(재)대성공원묘원,충청남도 계룡시 두마면 제1산단로 132 (입암리),042-585-0536
전북특별자치도,익산시,영모묘원 자연장지,"전라북도 익산시 왕궁면 호반로 173-45 (동봉리, 영모묘원납골당)",063-836-4311
경상북도,영천시,대한불교조계종 은해사,"경상북도 영천시 청통면 청통로 951 (치일리, 은해사)",054-335-0566
경기도,가평군,영은교회 자연장지(수목장),경기도 가평군 설악면 설곡리 산 224-8,02-2676-7171
대전광역시,서구,대전추모공원 자연장지,대전광역시 서구 상보안윗길 160 (괴곡동),042-602-2500
강원특별자치도,강릉시,성모자애공원,강원특별자치도 강릉시 주문진읍 주문리 산44-15,033-662-9115
경상남도,남해군,남해추모누리공원 자연장지,"경상남도 남해군 서면 연죽로 46-77 (연죽리, 남해공설종합묘원추모누리)",055-860-3681
전라남도,함평군,함평중앙교회 부활동산,"전라남도 함평군 함평읍 옥산리 242-9,253-3,396-24",061-324-2369
충청남도,공주시,정안수목장,충청남도 공주시 정안면 차령고개로 17-57 (사현리),041-854-0855
경기도,광주시,중흥교회복지선교회,경기도 광주시 곤지암읍 오향리 10-14,031-764-4005
전라남도,함평군,대한예수교장로회 함평교회,전라남도 함평군 함평읍 중앙길 110,061-324-1324
충청남도,서산시,서산시 희망공원(자연장지),충청남도 서산시 인지면 무학재2길 106 (산동리),041-660-2719
전라남도,장성군,자연숲추모공원 수목장림,전라남도 장성군 삼계면 영장로 900-53 (부성리),061-395-2040
경상북도,포항시,원진사지장회수목장,경상북도 포항시 남구 동해면 금광로438번길 108 (신정리),054-274-9443
경상북도,김천시,기독교대한감리회 애향숙,경상북도 김천시 어모면 용문산길 588-20 (능치리),054-435-5810
경상남도,밀양시,(재)만어추모공원 수목장,경상남도 밀양시 삼랑진읍 단장로 439 (우곡리),055-356-4979
경상남도,고성군,올리베따노성베네딕도수도회,경상남도 고성군 대가면 송계1길 163-43 (송계리),055-674-1986
경기도,광주시,중대공원자연장지,경기도 광주시 순암로 192 (중대동),031-762-0383
인천광역시,강화군,강화해누리공원,인천광역시 강화군 내가면 황청리 산170-1 일원,032-930-7144
경기도,양평군,무궁화공원묘원(자연장지),"경기도 양평군 서종면 잠실2길 134 (도장리, 무궁화공원묘원)",031-771-1400
경상북도,성주군,(재)우성공원묘원 자연장지,"경상북도 성주군 선남면 관용로 470-54 (용신리, 우성공원사무소)",054-933-4774
경기도,연천군,오봉사 수목장림,경기도 연천군 연천읍 현문로245번길 384 (고문리),031-834-2140
경상남도,밀양시,재단법인 효심추모관 자연장지,경상남도 밀양시 삼랑진읍 삼랑진로 605 (미전리),055-802-7091
경기도,여주시,(재)여주세종추모공원 자연장,경기도 여주시 흥천면 샘다리길 105 (흥천면 상대리 27-6),031-886-4060
경상북도,고령군,합동다산교회 자연장지,경상북도 고령군 성산면 기족리 산 14-4,
경기도,광주시,분당추모공원휴(자연장),경기도 광주시 오포로 211-49 (능평동),031-762-3000
경기도,포천시,내촌공설자연장지,경기도 포천시 내촌면 작은넙고개길 153 (진목리),031-540-6410
전북특별자치도,임실군,경각산 수목장,전북특별자치도 임실군 신덕면 불재로 622 (신덕리),063-643-0405
충청북도,제천시,제천시영원한쉼터 자연장지,충청북도 제천시 송학면 송학주천로9길 122 (포전리),043-644-6613
경기도,용인시,(재)용인공원(자연장),"경기도 용인시 처인구 모현읍 새래로 158-33 (초부리, 용인공원묘지)",031-334-3484
경기도,화성시,화성하늘공원 수목장림,경기도 화성시 장안면 포승장안로 1035 (장안리),031-351-4440
전라남도,완도군,완도군추모공원 자연장지,전라남도 완도군 군외면 청해진서로 1702 (삼두리),061-550-5322
경상북도,김천시,천주교 김천공원묘지,경상북도 김천시 개령면 황계길 280-41 (황계리),054-433-3880
