지역,소재지,시설명,주소,연락처
경상남도,창원시마산합포구,용광사,"경상남도 창원시 마산합포구 진북면 진북산업로 780 (정현리, 용광사)",055-271-0688
전라남도,목포시,보현정사,전라남도 목포시 삼학로 346-1 (용해동),061-279-7388
경상북도,영천시,(재)아미티우스 봉안당,"경상북도 영천시 북안면 내서로 139-17 (고지리, 만불사)",054-336-9004
전북특별자치도,김제시,(재)평화원,전라북도 김제시 공덕면 대산2길 47-22 (공덕리),063-853-1023
경상북도,문경시,쌍용사 봉안탑,"경상북도 문경시 농암면 칠봉로 755 (율수리, 쌍용사)",054-541-6753
전북특별자치도,전주시,천주교 금상동성당 하늘자리,전라북도 전주시 덕진구 전진로 107-13 (금상동),063-245-0091
경상남도,거창군,남상공설공원묘지 봉안당,경상남도 거창군 남상면 무촌리 산253,055-940-3124
세종특별자치시,세종특별자치시,세종시추모의집,세종특별자치시 전동면 전동로 538 (봉대리),044-850-1346
전라남도,목포시,목포추모관 휴,전라남도 목포시 고하대로 1140-41 (대양동),061-246-1001
전북특별자치도,전주시완산구,전주효자공원봉안당,"전라북도 전주시 완산구 콩쥐팥쥐로 1705-138 (효자동3가, 전주승화원)",063-239-2690
경기도,파주시,크리스찬메모리얼파크,경기도 파주시 조리읍 홀작로 164 (오산리),031-957-1260
경기도,파주시,조안공원,"경기도 파주시 조리읍 명봉산로 204(장곡리, 조안공원묘지관리실)",031-943-7476
경기도,이천시,대한예수교장로회 동천교회,경기도 이천시 설성면 설성로240번길 285 (장천리),02-831-0070
대구광역시,대구광역시,대구광역시 낙산추모의집,경상북도 칠곡군 지천면 낙산로 87 (낙산리),053-312-0348
제주특별자치도,제주시,애월읍 공설봉안묘(만장),제주특별자치도 제주시 애월읍 고성리 산103,064-728-8821
경기도,양평군,양평군공설봉안시설,"경기도 양평군 양평읍 중앙로111번길 54 (공흥리, 쉼터공원관리사무실)",031-770-3027
경상북도,영천시,청통추모관,경상북도 영천시 청통면 구정길 53-56 (죽정리),054-331-1881
충청남도,보령시,보령시모란공원 봉안당,"충청남도 보령시 성주면 만수로 695-14 (개화리, 모란공원사무실)",041-933-5671
강원특별자치도,인제군,하늘내린 휴공원(부부단),강원특별자치도 인제군 남면 자작나무숲길 444-62 (남전리),033-460-2056
충청남도,보령시,보령시모란공원 봉안담,"충청남도 보령시 성주면 만수로 695-14 (개화리, 모란공원사무실)",041-933-5671
충청북도,진천군,보현사 납골공원,"충청북도 진천군 초평면 초평로 1001 (화산리, 보현사)",043-532-6178
전라남도,보성군,정광사 연화추모관,전라남도 보성군 조성면 녹색로 4561-51(귀산리),061-858-0034
충청북도,음성군,미타사,충청북도 음성군 소이면 소이로61번길 164 (비산리),043-873-0330
제주특별자치도,제주시,양지공원 제1추모의집,"제주특별자치도 제주시 516로 2810-31 (영평동, 양지공원)",064-710-6622
인천광역시,부평구,인천가족공원 봉안담,인천광역시 부평구 평온로 61 (부평동),032-456-2320
경기도,양평군,갑산공원묘원,"경기도 양평군 양서면 건지미길 5 (양수리, 갑산공원묘원)",031-774-9348
전라남도,해남군,서동사,"전라남도 해남군 화원면 절골길 244 (금평리, 서동사)",061-532-0415
전라남도,나주시,나주납골당,"전라남도 나주시 내영산1길 12-3 (삼영동, 내영사)",061-334-0048
강원특별자치도,평창군,평창군 공설묘원(봉안당),"강원특별자치도 평창군 방림면 서동로 1741-36 (방림리, 평창공원묘지)",033-339-9026
경기도,김포시,개운사,경기도 김포시 월곶면 평화공원로 54-40 (개곡리),031-989-7687
경기도,포천시,전농동성당 평화묘원 봉안담,경기도 포천시 화현면 영일로368번길 66 (지현리),031-532-9723
충청북도,보은군,결초보은 추모공원,충청북도 보은군 보은읍 속리산로 37 (누청리),043-542-1232
경상남도,함양군,함양하늘공원(봉안시설),"경상남도 함양군 지곡면 함양로 2139-2 (마산리, 하늘공원)",055-964-0303
경상남도,창원시마산합포구,법지사,경상남도 창원시 마산합포구 구산면 유산군령로 105 (유산리),055-221-6333
경기도,용인시처인구,전통사찰95호 동도사,"경기도 용인시 처인구 이동읍 어진로 842, 동도사 (어비리)",031-333-7417
강원특별자치도,양구군,양구봉안당,강원특별자치도 양구군 양구읍 금강산로 518-40 (하리),033-480-2576
경상북도,경주시,(재)영호공원,경상북도 경주시 건천읍 단석로 1803-94 (송선리),054-751-9666
충청남도,아산시,아산추모공원 휴온 봉안묘,충청남도 아산시 송악면 외암로 55-15 (거산리),02-502-9984
경상남도,밀양시,효심추모관,경상남도 밀양시 삼랑진읍 삼랑진로 605 (미전리),02-1644-1103
울산광역시,중구,덕원사 추모관,울산광역시 중구 성동길 129-10 (성안동),052-716-1141
경기도,의왕시,의왕하늘쉼터(봉안담),경기도 의왕시 오매기백운산길 41-57 (오전동),031-345-2831
제주특별자치도,제주시,우도면 공설봉안묘,"제주특별자치도 제주시 우도면 영일길 80-10 (연평리, 우도장례식장)",064-728-4331
경기도,가평군,상락향 봉안탑,"경기도 가평군 청평면 남이터길 65 (대성리, 상락향수도원)",031-584-0657
충청남도,공주시,공주나래원 봉안당,"충청남도 공주시 이인면 삼배실길 70 (운암리, 나래원)",041-840-8980
부산광역시,기장군,(재)실로암공원묘원 봉안묘,"부산광역시 기장군 철마면 사등길 181 (고촌리, 실로암공원묘원관리사무소)",051-721-5115
서울특별시,서대문구,한국불교태고종 백련사봉안당,"서울특별시 서대문구 백련사길 170-72 (홍은동, 백련사)",02-302-0288
경기도,양주시,대원정사 봉안당,경기도 양주시 장흥면 권율로309번길 317-214 (석현리),031-855-5501
대구광역시,달성군,한국불교원각종 장수사,"대구광역시 달성군 옥포면 옥계길 16-1(본리리, 장수사)",053-615-9004
제주특별자치도,제주시,구좌읍 공설봉안묘(만장),제주특별자치도 제주시 구좌읍 송당리 54-1,064-728-7723
경기도,김포시,김포시추모공원(봉안담),경기도 김포시 통진읍 애기봉로571번길 165 (귀전리83-4),031-980-2215
충청북도,단양군,한결재단법인 하늘정원,충청북도 단양군 영춘면 사지원리 445-6,041-545-0601
강원특별자치도,강릉시,청솔공원 가족봉안묘,강원특별자치도 강릉시 사천면 석교리 산162,033-660-3857
경기도,고양시덕양구,추모공원 하늘문,경기도 고양시 덕양구 보광로106번길 46 (벽제동),031-962-7579
경기도,양주시,대한불교조계종 육지장사,경기도 양주시 백석읍 기산로471번길 190 (기산리),031-871-0101
경기도,안성시,하늘문 봉안당,"경기도 안성시 양성면 미리내성지로 386-27 (미산리, 미리내실버타운)",031-671-0500
경기도,가평군,마라나타하늘정원,"경기도 가평군 가평읍 호반로 2424-22 (달전리, 오륜비전빌리지)",02-6413-1764
경상남도,밀양시,밀양성당 천상낙원,경상남도 밀양시 밀양대공원로 74 (교동),055-356-4023
경기도,안성시,대한불교조계종 대원사,"경기도 안성시 공도읍 마정개나리길 16-15 (마정리, 대원사)",031-656-4841
부산광역시,기장군,백운공원묘원 제1묘원,부산광역시 기장군 정관읍 정관로 165 (두명리),051-508-2934
경기도,남양주시,봉선사봉안당,"경기도 남양주시 진접읍 봉선사길 30 (부평리, 봉선사)",031-527-1951
강원특별자치도,인제군,하늘내린 보금자리(가족8위),강원특별자치도 인제군 남면 자작나무숲길 444-62 (남전리),033-460-2056
경상남도,양산시,천주교하늘공원 봉안당,"경상남도 양산시 상북면 공원로3길 19 (상삼리, 추모관)",055-374-8733
경기도,광주시,분당스카이캐슬추모공원,"경기도 광주시 머루숯길 61-33 (신현동, 분당스카이캐슬추모공원)",031-712-2004
경상북도,청도군,대국사,"경상북도 청도군 금천면 소천길 68 (사전리, 대국사)",054-371-0101
경기도,연천군,수불사추모공원,"경기도 연천군 청산면 전영로215번길 153-16, 수불사추모공원",031-832-6222
경기도,양평군,새하늘공원,경기도 양평군 지평면 고재길 90 (곡수리),031-775-9544
전북특별자치도,전주시완산구,전주추모관,전라북도 전주시 완산구 콩쥐팥쥐로 1705-152 (효자동3가),063-221-7185
강원특별자치도,춘천시,춘천안식공원(봉안묘),"강원특별자치도 춘천시 동산면 종자리로 331-50 (군자리, 춘천시공설묘원)",033-263-6454
경상남도,합천군,해인사 고불암,"경상남도 합천군 가야면 치인5길 194 (치인리, 고불암)",055-934-0127
경상남도,창원시성산구,창원시립상복공원 봉안담,"경상남도 창원시 성산구 공단로474번길 160 (상복동, 창원시립상복공원)",055-712-0925
전북특별자치도,정읍시,서남권추모공원 봉안당,전라북도 정읍시 감곡면 정읍북로 1850 (통석리),063-539-6726
경상남도,의령군,수암사 영혼의쉼터,경상남도 의령군 의령읍 수암로 267 (하리),055-574-0056
경기도,남양주시,재단법인북한강공원,"경기도 남양주시 화도읍 모꼬지로17번길 202 (구암리, 북한강공원)",031-592-0081
부산광역시,동구,화엄사,부산광역시 동구 구봉중길 48-10 (초량동),051-468-8080
경상북도,영천시,관음사 봉안당,경상북도 영천시 북안면 돈암길 139 (자포리),
경기도,의왕시,석예정사,경기도 의왕시 안골로 44-3 (고천동),031-451-0653
강원특별자치도,정선군,정선하늘원,"강원특별자치도 정선군 여량면 서동로 3867-26 (남곡리, 정선하늘공원)",033-560-3437
경상남도,거제시,거제시추모의집,경상남도 거제시 사등면 지석로 219-38 (지석리),055-639-8350
경상북도,구미시,구미시공설숭조당 제1관,경상북도 구미시 옥성면 선상동로 419 (초곡리),054-481-0572
경상남도,진주시,진주내동공원묘원 봉안당,"경상남도 진주시 내동면 유수길75번길 8-214 (유수리, 진주내동공동묘원)",055-756-1500
서울특별시,광진구,광진구추모의집,경기도 화성시 향남읍 서봉로755번길 17-15(동오리),031-354-2325
충청북도,증평군,증평군 추모의집,"충청북도 음성군 금왕읍 덕금로 936-61, 예은추모공원 내 (용계리)",043-835-4813
서울특별시,동작구,노들하늘공원(동작구추모의집),경기도 화성시 향남읍 서봉로755번길 17-15(동오리),031-354-2325
경기도,평택시,약천추모공원,경기도 평택시 도일로 164-118 (도일동),031-1811-8093
충청북도,음성군,꽃동네(추기경 정진석 센터),충청북도 음성군 맹동면 원중로 1221 (통동리),043-872-0101
충청남도,계룡시,계룡시 정명각,충청남도 계룡시 두마면 제1산단로 132 (입암리),042-840-2271
서울특별시,강남구,능인불교선양원봉안당,"서울특별시 강남구 양재대로 340 (개포동, 능인선원)",02-577-5800
제주특별자치도,제주시,충혼각,"제주특별자치도 제주시 1100로 2576-10 (노형동, 충혼각)",064-710-6622
전라남도,완도군,(사)민족불교해동조계종 해동사,전라남도 완도군 약산면 약산일주로 673 (해동리),061-555-0879
서울특별시,동대문구,동대문구추모의집,충청북도 음성군 금왕읍 덕금로 936-61 (용계리),043-881-4700
경기도,가평군,서강대학교 봉안묘,"경기도 가평군 상면 청군로 1428-92 (원흥리, 서강대학교철우인성교육원)",031-585-3179
경기도,연천군,성아우구스띠노수도회 봉안시설,경기도 연천군 왕징면 왕산로 722 (동중리),031-834-1262
경기도,파주시,상락원 지장영묘전,"경기도 파주시 송화로 136 (야동동, 한국불교상락원)",031-941-3416
경기도,화성시,세계불교법왕청,"경기도 화성시 동탄기흥로 64-42 (송동, 법왕청)",02-3217-3217
경상북도,영천시,대승불교법왕종 한광사,"경상북도 영천시 신녕면 권응수길 126 (화남리, 한광사)",054-336-3533
경기도,여주시,(재)여주세종추모공원 봉안당,경기도 여주시 흥천면 샘다리길 105 (흥천면  상대리  27-6),031-634-4960
충청남도,금산군,(재)평화공원 가족봉안묘,"충청남도 금산군 복수면 신대리 193, 194-1",041-752-8503
경상남도,거창군,고제공설공원묘지 봉안당,경상남도 거창군 고제면 봉산리 1309,055-940-3124
충청북도,음성군,꽃동네 봉안묘(봉안담),충청북도 음성군 맹동면 꽃동네길 47-93 (인곡리),043-879-0100
충청북도,청주시,청주백화추모관,충청북도 청주시 상당구 명암로 103 (명암동),043-224-2299
인천광역시,강화군,예수사랑제일교회,"인천광역시 강화군 하점면 창후로 90-35 (창후리, 예수사랑제일교회)",02-6722-2500
경기도,포천시,도성사 봉안탑,경기도 포천시 화현면 화동로596번길 90 (화현리),031-533-8815
충청남도,당진시,어성정(대호지공설묘지),"충청남도 당진시 대호지면 봉선길 123 (장정리, 어성정공동묘지)",041-353-3044
강원특별자치도,춘천시,천주교 춘천교구 부활성당 추모관,강원특별자치도 춘천시 신동면 김유정로 1727 (정족리),033-240-6022
경기도,고양시덕양구,유일추모공원,경기도 고양시 덕양구 통일로 582 (대자동),031-962-4144
충청북도,충주시,봉은사 봉안당,"충청북도 충주시 소태면 주치길 135-45 (오량리, 봉은사)",043-854-8120
세종특별자치시,세종특별자치시,황룡사,세종특별자치시 연동면 황우재길 22-17 (명학리),044-864-7000
경상북도,청도군,(재)한국SGI청도평화공원,경상북도 청도군 금천면 석현길 96-7 (소천리),054-996-9897
경기도,남양주시,재단법인청림공원(봉안탑),"경기도 남양주시 진건읍 사릉로156번길 295 (송능리, 봉인사)",031-527-5678
경상북도,구미시,구미시공설숭조당 제2관,경상북도 구미시 옥성면 선상동로 419-1 (초곡리),054-481-0572
충청북도,진천군,진천군 추모의집,"충청북도 진천군 진천읍 백곡로 1465-34 (장관리, 진천군공설묘지)",043-539-3868
경기도,김포시,연화사,경기도 김포시 하성면 연화봉로 233 (후평리),031-988-3531
경상북도,청도군,재단법인 효천추모공원,경상북도 청도군 매전면 중앙로 84-500 (송원리),054-372-8900
강원특별자치도,영월군,원주제일감리교회(봉안),강원특별자치도 영월군 주천면 신일리 산253,033-742-2170
강원특별자치도,삼척시,삼척시 추모공원 봉안당,"강원특별자치도 삼척시 강원남부로 4541 (등봉동, 삼척시공원묘지)",033-574-7912
충청남도,논산시,지장정사 연화대,"충청남도 논산시 노성면 화곡안길 103 (화곡리, 지장정사,템플스테이,연화대,법륜종재단)",041-732-5629
인천광역시,부평구,인천가족공원 추모의집,인천광역시 부평구 평온로 61 (부평동),032-456-2320
충청남도,금산군,한국불교태고종 일불사 봉안당,충청남도 금산군 추부면 서대동기길 100 (서대리),041-754-5108
경상남도,사천시,묘통사 납골공원,경상남도 사천시 곤명면 세종태실로 106 (은사리),055-855-4050
경기도,연천군,오봉사 봉안당,경기도 연천군 연천읍 현문로245번길 384 (고문리),031-834-2140
충청북도,음성군,용흥사 봉안묘,충청북도 음성군 금왕읍 용계리 183-21,043-877-0943
충청북도,청주시,법왕청추모관,충청북도 청주시 상당구 미원면 단재로 2776 (쌍이리),031-902-8500
경기도,용인시,용인평온의숲(평온마루 봉안묘),"경기도 용인시 처인구 이동읍 평온의숲로 77 (어비리, 용인평온의숲)",031-329-5900
충청남도,당진시,하늘소망추모관,충청남도 당진시 송악읍 조비실길 43-26 (영천리),041-353-9882
경기도,광주시,오향중흥교회 봉안당,경기도 광주시 곤지암읍 가마을길 83-19 (오향리),031-764-4005
울산광역시,울산광역시,울산하늘공원 추모의집,울산광역시 울주군 삼동면 보삼길 550 (조일리),052-255-3800
경상남도,양산시,양산 석굴암 극락전 추모관,"경상남도 양산시 호계길 96-71 (호계동, 석굴암)",055-388-0317
경기도,고양시일산동구,재단법인 일산장안추모공원,경기도 고양시 일산동구 백마로502번길 64-13 (풍동),031-903-6650
경상남도,남해군,남해추모누리 안락원,"경상남도 남해군 서면 연죽로 46-77 (연죽리, 남해공설종합묘원추모누리)",055-860-3681
경기도,안성시,대한불교 영평사,경기도 안성시 보개면 신장길 79-42 (신장리),031-676-3960
전라남도,담양군,갑향군립묘원(봉안),"전라남도 담양군 대전면 추성로 468 (갑향리, 갑향공원)",061-380-3383
충청남도,예산군,예산군추모의집 제1관,"충청남도 예산군 응봉면 예당로 1345-12 (평촌리, 예산군추모공원)",041-339-8252
경기도,파주시,파주추모공원 봉안당,경기도 파주시 파주읍 약수골길 67 (연풍리),031-954-1444
경기도,양평군,가연추모관,"경기도 양평군 양서면 건지미길 75 (양수리, 노적사)",031-771-9004
경상남도,거창군,거창공설공원묘지 봉안당,경상남도 거창군 거창읍 거열로4길 523-23 (가지리),055-940-7271
서울특별시,서대문구,봉원사,"서울특별시 서대문구 봉원사길 120 (봉원동, 봉원사)",02-392-3007
전북특별자치도,전주시완산구,효자추모관,"전라북도 전주시 완산구 콩쥐팥쥐로 1705-31 (효자동3가, 효자추모관)",063-227-6811
경기도,동두천시,원흥사 납골탑,경기도 동두천시 광암로17번길 163-75 (광암동),031-867-3593
경기도,남양주시,신당동성당 소화묘원(봉안묘),"경기도 남양주시 조안면 다산로 363 (능내리, 천주교신당동교회)",031-576-1461
경기도,가평군,가평군공설봉안묘,경기도 가평군 북면 이곡리 산7,031-580-4264
인천광역시,미추홀구,석암산수도사 봉안당,"인천광역시 미추홀구 구월로8번길 36-7 (주안동, 수도사)",032-422-1479
경기도,동두천시,예래원(봉안시설),경기도 동두천시 탑신로 668 (탑동동),031-867-8707
경상남도,김해시,김해추모의집 제2봉안당,경상남도 김해시 주촌면 서부로1637번길 574 (덕암리),055-337-3948
충청남도,서산시,서산시 희망공원(봉안시설),충청남도 서산시 인지면 무학재2길 106 (산동리),041-660-2719
제주특별자치도,제주시,우도면 봉안당,"제주특별자치도 제주시 우도면 영일길 80-10 (연평리, 우도장례식장)",064-728-4331
경상북도,포항시남구,원진사 봉안당,경상북도 포항시 남구 동해면 금광로438번길 108 (신정리),054-274-9443
충청북도,음성군,생극추모공원,충청북도 음성군 생극면 일생로 497-27 (관성리),080-345-4444
전라남도,나주시,(재)남도추모공원,전라남도 나주시 문평면 월암로 1050 (학교리),062-1544-6061
경기도,용인시처인구,면류관교회,경기도 용인시 처인구 원삼면 보개원삼로 1692 (죽능리),031-333-3956
경기도,김포시,용문선원,"경기도 김포시 월곶면 대곶로 570 (갈산리, 용문사)",031-987-1981
광주광역시,북구,새로나추모관,"광주광역시 북구 동운로52번길 118 (동림동, (재)새로나추모관)",062-531-4444
제주특별자치도,서귀포시,혜관정사 봉안당,"제주특별자치도 서귀포시 서리오름로 10 (보목동, 혜관정사)",064-733-3918
경기도,포천시,다보정사 안미원,경기도 포천시 창수면 옥수로262번길 98 (주원리),031-531-0561
경상남도,밀양시,정토세계,경상남도 밀양시 삼랑진읍 삼랑진로 603 (미전리),055-352-9114
전라남도,화순군,학천사추모관,"전라남도 화순군 화순읍 덕음로 940-27 (삼천리, 학천사)",061-375-7631
경상남도,의령군,(재)동산공원묘원 봉안당,경상남도 의령군 부림면 함의로 2180-269 (경산리),055-574-8181
강원특별자치도,동해시,동해시하늘정원봉안당,강원도 동해시 강원남부로 4589 (단봉동),033-530-2796
경상북도,성주군,삼광사추모공원 아미타봉안탑,"경상북도 성주군 월항면 지산로 208 (지방리, 삼광사)",054-971-5669
경상북도,청도군,동국사 영가추모관,경상북도 청도군 각남면 옥산길 248-283 (옥산리),054-373-0072
강원특별자치도,춘천시,춘천안식공원(안식의집),"강원특별자치도 춘천시 동산면 종자리로 331-50 (군자리, 춘천시공설묘원)",033-263-6454
경기도,고양시,(재)자하연 일산(봉안),경기도 고양시 일산동구 지영로 36-87 (지영동),031-977-8351
강원특별자치도,속초시,속초시추모의집,강원특별자치도 속초시 이목로 196 (노학동),033-635-7023
경상남도,함양군,함양군구룡공설공원묘지 봉안묘,경상남도 함양군 함양읍 구룡리 산11,055-960-5145
경기도,남양주시,화광사,"경기도 남양주시 화도읍 경춘로2192번길 107 (월산리, 대한불교화광사)",031-595-0977
경상북도,영천시,대한불교법화종 순선사,경상북도 영천시 서운길 80 (서산동),054-337-4225
경상남도,함안군,선약사,경상남도 함안군 산인면 싸리재로 34-2 (운곡리),055-584-6660
경기도,용인시,용인평온의숲(평온마루 봉안당),"경기도 용인시 처인구 이동면 평온의숲로 77 (어비리, 용인평온의숲)",031-329-5900
경상북도,경주시,대한불교조계종 무일선원,"경상북도 경주시 감포읍 회곡길 127(대본리, 관음사)",054-753-8228
부산광역시,기장군,메모리얼펠리스추모관(실로암),"부산광역시 기장군 철마면 사등길 181 (고촌리, 실로암공원묘원관리사무소)",051-722-5115
경기도,양평군,별그리다(THE WALL),경기도 양평군 양동면 양동금곡1길 331 (삼산리),031-333-1111
강원특별자치도,춘천시,강촌추모원,강원특별자치도 춘천시 남산면 강촌길 31-29 (강촌리),033-261-0144
경상남도,거창군,해인사 고불암무량수전,경상남도 거창군 가북면 용암리 2184,055-934-0127
충청북도,충주시,(재)생활불교 봉안탑,충청북도 충주시 엄정면 향림길 314 (용산리),043-851-4114
세종특별자치시,세종특별자치시,은하수공원 달님의집(봉안당),"세종특별자치시 정안세종로 1527 (산울동, 은하수공원)",044-850-1340
경기도,용인시처인구,(재)용인공원(봉안담·묘),"경기도 용인시 처인구 모현면 새래로 158-33 (초부리, 용인공원묘지)",031-334-3484
충청북도,충주시,천등산 봉안영묘전,충청북도 충주시 산척면 천등박달로 771 (송강리),043-853-4741
경상남도,고성군,천비룡사,경상남도 고성군 대가면 유흥갈천길 540-52 (척정리),
경기도,용인시처인구,구룡사추모공원,"경기도 용인시 처인구 이동읍 삼배울로92번길 30-6 (덕성리, 구룡사)",031-333-4006
강원특별자치도,강릉시,청솔공원 영생의집,"강원특별자치도 강릉시 사천면 청솔공원길 334 (석교리, 청솔공원관리사무소)",033-660-3857
경상남도,진주시,영광사불지원,"경상남도 진주시 명석면 진주대로 1764-31 (우수리, 영광사)",055-742-3470
서울특별시,은평구,구파발성당 성요셉관,"서울특별시 은평구 진관2로 29-16 (진관동, 구파발성당)",02-389-1501
경기도,안산시,하늘공원(부곡동공설공원묘지),경기도 안산시 상록구 수인로 1824 (부곡동),031-481-3257
충청북도,청주시서원구,대한불교정음사원,"충청북도 청주시 서원구 3순환로644번길 33 (죽림동, 대한불교정음사원)",043-233-0924
인천광역시,부평구,인천가족공원 만월당,인천광역시 부평구 평온로 61 (부평동),032-456-2320
부산광역시,기장군,부산추모공원 봉안묘·담,"부산광역시 기장군 정관읍 정관로 225 (두명리, 부산추모공원)",051-790-5100
경상남도,밀양시,(재)만어추모공원 봉안당,경상남도 밀양시 삼랑진읍 단장로 439 (우곡리),055-356-4979
경기도,양평군,대한예수교장로회 노량진교회,"경기도 양평군 양서면 웃능골길 78 (복포리, 노량진교회기도원)",02-814-3425
경기도,양주시,대한불교덕성종 성보사 봉안탑,경기도 양주시 백석읍 부흥로397번길 46 (연곡리),031-879-4691
경기도,포천시,(재)자하연포천(봉안),경기도 포천시 영중면 궁들길 84 (금주리),031-532-6534
